j,t,l, Inv, Inv_LB, shortage
D0003, 36, Anchorage_Port, 0, 0, 0
D0003, 36, Seward_MPF_Port, 0, 0, 0
D0003, 36, Fairbanks_Airport, 0, 0, 0
D0003, 36, Nome_Airport, 0, 0, 0
D0003, 36, Nome_Port, 0, 0, 0
D0003, 36, Teller_Dest, 0, 0, 0
D0003, 36, Camp_Pendleton_Airport, 0, 0, 0
D0003, 36, Point_Loma, 0, 0, 0
D0003, 37, Juneau_Airport, 1, 0, 0
D0003, 37, Mosquito_Lake_Sup, 7, 0, 0
D0003, 37, Tanani_Sup, 0, 0, 0
D0003, 37, Mud_Bay_Sup, 0, 0, 0
D0003, 37, Port_Chilkoot, 0, 0, 0
D0003, 37, Elmendorf_AFB, 0, 0, 0
D0003, 37, Anchorage_Port, 0, 0, 0
D0003, 37, Seward_MPF_Port, 0, 0, 0
D0003, 37, Fairbanks_Airport, 0, 0, 0
D0003, 37, Nome_Airport, 0, 0, 0
D0003, 37, Nome_Port, 0, 0, 0
D0003, 37, Teller_Dest, 0, 0, 0
D0003, 37, Camp_Pendleton_Airport, 0, 0, 0
D0003, 37, Point_Loma, 0, 0, 0
D0003, 38, Juneau_Airport, 1, 0, 0
D0003, 38, Mosquito_Lake_Sup, 7, 0, 0
