j,t,l, Inv, Inv_LB, shortage
A011, 18, Phase_II_D1_PAA_3, 0, 0, 0
A011, 18, Phase_I_128_Staging_Location, 0, 0, 0
A011, 18, Phase_II_D-Day_128_Support_Area, 0, 0, 0
A011, 18, Port_of_Belawan, 0, 0, 0
A011, 18, Banda_Aceh_Port, 31, 0, 0
A011, 19, Phase_I__II_Recon_Deep_Staging_Location, 0, 0, 0
A011, 19, Phase_II_Farp_2A, 0, 0, 0
A011, 19, Phase_I_313_Staging_Location, 0, 0, 0
A011, 19, Phase_II_D1_128__328_Supporting_Position, 0, 0, 0
A011, 19, Phase_II_D2_PAA4, 0, 0, 0
A011, 19, Phase_II_PAA2, 0, 0, 0
A011, 19, Sultan_Iskandar_Muda_Airport, 10.5789, 3, 0
A011, 19, Medan_Air_Base, 0, 0, 0
A011, 19, Phase_I_328_Staging_Location, 0, 0, 0
A011, 19, Phase_II_D3_PAA5, 0, 0, 0
A011, 19, Phase_II_D1_PAA_3, 0, 0, 0
A011, 19, Phase_I_128_Staging_Location, 0, 0, 0
A011, 19, Phase_II_D-Day_128_Support_Area, 0, 0, 0
A011, 19, Port_of_Belawan, 0, 0, 0
A011, 19, Banda_Aceh_Port, 31, 0, 0
A011, 20, Phase_I__II_Recon_Deep_Staging_Location, 0, 0, 0
A011, 20, Phase_II_Farp_2A, 0, 0, 0
A011, 20, Phase_I_313_Staging_Location, 0, 0, 0
A011, 20, Phase_II_D1_128__328_Supporting_Position, 0, 0, 0
A011, 20, Phase_II_D2_PAA4, 0, 0, 0
A011, 20, Phase_II_PAA2, 0, 0, 0
A011, 20, Sultan_Iskandar_Muda_Airport, 10, 3, 0
A011, 20, Medan_Air_Base, 0, 0, 0
A011, 20, Phase_I_328_Staging_Location, 0, 0, 0
A011, 20, Phase_II_D3_PAA5, 0, 0, 0
A011, 20, Phase_II_D1_PAA_3, 0, 0, 0
A011, 20, Phase_I_128_Staging_Location, 0, 0, 0
A011, 20, Phase_II_D-Day_128_Support_Area, 0, 0, 0
A011, 20, Port_of_Belawan, 0, 0, 0
A011, 20, Banda_Aceh_Port, 27, 0, 0
A011, 21, Phase_I__II_Recon_Deep_Staging_Location, 0, 0, 0
A011, 21, Phase_II_Farp_2A, 0, 0, 0
A011, 21, Phase_I_313_Staging_Location, 0, 0, 0
A011, 21, Phase_II_D1_128__328_Supporting_Position, 0, 0, 0
A011, 21, Phase_II_D2_PAA4, 0, 0, 0
A011, 21, Phase_II_PAA2, 0, 0, 0
A011, 21, Sultan_Iskandar_Muda_Airport, 10, 0, 0
A011, 21, Medan_Air_Base, 0, 0, 0
A011, 21, Phase_I_328_Staging_Location, 0, 0, 0
A011, 21, Phase_II_D3_PAA5, 0, 0, 0
A011, 21, Phase_II_D1_PAA_3, 0, 0, 0
A011, 21, Phase_I_128_Staging_Location, 0, 0, 0
A011, 21, Phase_II_D-Day_128_Support_Area, 0, 0, 0
A011, 21, Port_of_Belawan, 0, 0, 0
A011, 21, Banda_Aceh_Port, 25, 0, 0
A011, 22, Phase_I__II_Recon_Deep_Staging_Location, 1.66667, 1, 0
A011, 22, Phase_II_Farp_2A, 0, 0, 0
A011, 22, Phase_I_313_Staging_Location, 0, 0, 0
A011, 22, Phase_II_D1_128__328_Supporting_Position, 0, 0, 0
A011, 22, Phase_II_D2_PAA4, 0, 0, 0
A011, 22, Phase_II_PAA2, 0, 0, 0
A011, 22, Sultan_Iskandar_Muda_Airport, 10, 0, 0
A011, 22, Medan_Air_Base, 0, 0, 0
A011, 22, Phase_I_328_Staging_Location, 0, 0, 0
A011, 22, Phase_II_D3_PAA5, 0, 0, 0
A011, 22, Phase_II_D1_PAA_3, 0, 0, 0
A011, 22, Phase_I_128_Staging_Location, 3.33333, 2, 0
A011, 22, Phase_II_D-Day_128_Support_Area, 0, 0, 0
A011, 22, Port_of_Belawan, 0, 0, 0
A011, 22, Banda_Aceh_Port, 25, 0, 0
A011, 23, Phase_I__II_Recon_Deep_Staging_Location, 1.33333, 1, 0
A011, 23, Phase_II_Farp_2A, 0, 0, 0
A011, 23, Phase_I_313_Staging_Location, 0, 0, 0
A011, 23, Phase_II_D1_128__328_Supporting_Position, 0, 0, 0
A011, 23, Phase_II_D2_PAA4, 0, 0, 0
A011, 23, Phase_II_PAA2, 0, 0, 0
A011, 23, Sultan_Iskandar_Muda_Airport, 10, 0, 0
A011, 23, Medan_Air_Base, 0, 0, 0
A011, 23, Phase_I_328_Staging_Location, 0, 0, 0
